Mensaje,Fecha
y mi navidad sapo,1/26/2024
Mi bonitaa ,2/8/2024
Tqm y siempre te extraño <3,2/1/2024
La mejor presi nunca cambies,2/8/2024
De nada gay Me caíste súper ,1/30/2024
Con cariño E,2/9/2024
tqcamita,2/7/2024
pilas aleli att:fiesta :) ,1/29/2024
Gracias por el CD de Kanye bb,2/9/2024
Para tu ,2/7/2024
¡Feliz San Valentín!,2/8/2024
Tu amiga que te quiere mucho A,2/6/2024
Tamo mi pianista fav ,2/9/2024
Te quiero mucho sapa fea 🦕🐸,2/6/2024
Te amo mucho amor de mi vidaa,1/27/2024
"Te amo vida mía, Feliz 14 ",2/7/2024
Gracias por ser un buen amigo💓,2/2/2024
Tamo ññito,2/8/2024
No te pude mandar directo ,2/8/2024
IU Love wins all,2/6/2024
mi compañera de neuronas! tqm,2/5/2024
T.Q.M 💕✨,2/3/2024
Tqmm mi mile linda,2/5/2024
"te amo tontaa, eres mi vida",2/6/2024
TE QUIERO MUCHO OOOOOOOOOOOOOO,2/8/2024
Para el mejor novio. Te amo ♥♥,2/9/2024
Sari tqm <3,2/6/2024
Te quiero mucho Britannyyyyy,2/2/2024
Te amo 🦊🦊🦊,2/6/2024
Ti amo mi amore,2/2/2024
Tqm manate preciosa 🫂,2/8/2024
tq y extraño muchísimo ,1/28/2024
I love you My Little Prince <3,2/9/2024
Con amor feliz San Valentín ,1/25/2024
Aunque seas enojona tqm emilit,2/9/2024
tqm tu admiradora secreta :3,2/5/2024
feliz san valentín preciosita,2/7/2024
"Tamo Pauuu, nunca cambies",1/30/2024
Feliz San Valentin mi amor ,2/7/2024
TQM mi chaneque ,1/29/2024
Gracias por ayudarme antes,2/2/2024
para mi mejor amiga,2/6/2024
Ti amo Raphita bella 😭🫶,2/7/2024
Para mi real te amo bella,1/27/2024
Te amo mujer ,1/29/2024
Te quiero amiga del alma,2/6/2024
Te quiero muchísimo ,2/4/2024
Te quiero 🙀,2/8/2024
Gracias por seguirme en todo 😽,2/8/2024
Te amo con todo mi corazón ,1/30/2024
Te quiero mucho 💋 ,1/30/2024
Perdonanos chiomara :((,2/8/2024
te quiero gay pispireto,2/7/2024
Gracias por tu amistad Mateito,2/9/2024
Te quiero mucho 💗,2/7/2024
Para mi niña de ojitos lindoss,2/6/2024
Tqm,1/30/2024
TQM rataella <3,2/6/2024
Feliz san valentin pau <3,2/8/2024
Feliz día de San Valentín,2/8/2024
Gracias x todo <3,2/7/2024
lechuga bella y fresca tqm ,1/31/2024
Tamo tamo tamoo,2/9/2024
Feliz San Valentin linda,2/6/2024
💗,2/5/2024
Feliz día gatita mía ❤️❤️,2/6/2024
😼💋❤️🫵,1/26/2024
Feliz Dia Bro,2/7/2024
Feliz dia de la amistad,2/8/2024
Milyane para tu<3,2/8/2024
TEamo,1/23/2024
Feliz San Valentín ñaño,2/8/2024
Pala la niña más guapa ❤️🥺,2/6/2024
❤️,2/7/2024
te quiero mejor amistad <3,1/30/2024
Me pareces linda...,2/5/2024
Admiro tu espectacular belleza,1/26/2024
Te quiero muchoo ✨,2/9/2024
Te quiero Matea❤️,2/7/2024
"Feliz d´ía linda, te amo full",2/8/2024
Te quiero hermosaaaa ❤️,2/8/2024
Te amo mucho pendeje,2/1/2024
Te amo ,1/31/2024
Para mi princesa!!!,2/9/2024
Gracias por ser la mejor ,2/2/2024
Te quiero muchoo ,2/1/2024
TQM mi vida ⁠♡,2/4/2024
Te extraño Alejito 🍃,2/4/2024
Por ser una buena amiga.,1/31/2024
@c4m1_sal.11,2/7/2024
Happy Valentine,2/6/2024
Te amo vv,2/7/2024
Sorpresa 🙈,2/7/2024
Tqm Emi (mi minion fav) :),1/27/2024
tamo,1/30/2024
No dejes de soñar.TQM,2/8/2024
Para mi bastonera favorita.💘,2/6/2024
"Te extrañoooo Tiliiiiin, tqm 💗",2/10/2024
"Te amo, besos en la cola ♥︎♥︎♥︎",2/5/2024
Para mí hermosa negrita 💗,2/2/2024
Te amo muchísimo amor mío,2/6/2024
No me dejes en visto grosera ,2/5/2024
Te quiero Barbie ,2/1/2024
TQM aunque me dijas bichita ❤️,2/8/2024
Xq eres mi ex enojona fav  ,2/6/2024
Te quiero rubia <3,2/8/2024
Te amo mi amor ,2/7/2024
,2/1/2024
Feliz San Valentín amiga,2/9/2024
te amo mil mundos princesa!,2/6/2024
Te amo muchi rafisisisi <3 ,2/7/2024
Te amo mucho monito. ,1/30/2024
"Te quiere, Lucha",2/9/2024
"Una flor para otra flor, teamo",2/2/2024
Tqm pooka,2/7/2024
Todos los días me enamoro más ,2/8/2024
Contigo el mundo es más bonito,2/8/2024
Negroooo ,1/25/2024
me gustan tus triples,2/5/2024
ig:@danna.la_rana,2/9/2024
<3,2/9/2024
feliz san valantin ,2/7/2024
Te amoo,2/8/2024
"Caro, te quiero mucho❤❤",2/8/2024
Xìngbié,2/5/2024
ATT: Tu mayor admirador. ,1/29/2024
TQM enojona ,2/10/2024
Otra vez yooo 🗣️,2/10/2024
"Mvd, feliz san valentin te amo",1/29/2024
🫶💗,2/5/2024
te amo con mi vida holly 👄,2/8/2024
TKM mi niña✨,2/10/2024
T amito eres una gran amiga,1/27/2024
Te amo Ana ,2/10/2024
"Ya terminale a tu novio,infiel",2/8/2024
Para la niña que me enamoró❤️,2/5/2024
De Brayan para Tatiane ,1/29/2024
Te amo,2/6/2024
Te amo mi niña preciosa 💕,2/6/2024
toda la vida juntos ,1/31/2024
Para mi carita de muñeca♡,2/8/2024
Tqm Negrita hermosa mua,2/2/2024
Feliz san Valentín licen Andre,2/8/2024
TQM <3,2/7/2024
Gracias por no abandonarme,2/7/2024
Te amo esta vida y la otra 🐣💗.,2/7/2024
TQM serpiente,2/7/2024
Te amo Nao<3,2/8/2024
Feliz día seño,1/26/2024
Feliz San Valentin preciosa ,2/6/2024
Te quiero mucho Elisita linda💗,2/9/2024
Merecedor de todo mi amor <3,2/9/2024
Gracias por ser la mejor ñaña❤️,2/9/2024
Te amo amor,2/7/2024
 ♡ ,2/4/2024
te amo 💋,2/6/2024
te extraño ,2/6/2024
<3,1/31/2024
tqm negra<3 felis dia ,2/5/2024
Te quierooo resentidoo <3,1/26/2024
No te me empaches,2/7/2024
Gracias por ser un gran amigo,2/2/2024
"Te quiero mucho, pilas mi saco",2/5/2024
"Te amo preciosa, eres la mejor",2/3/2024
Trakaaaa😈,2/1/2024
Teamo Dayi eres muy hermosa ♡,1/29/2024
te amo ratita,2/5/2024
tan linda como los atardeceres,1/26/2024
Love you ,2/5/2024
Te amo Emi,2/6/2024
Ya crece ,2/6/2024
tan novio y sin guapa,2/7/2024
Feliz dia negro ,2/6/2024
"Feliz dia, mi disimulada fav",1/30/2024
"Te amo ya, eres la mejor",1/30/2024
te amo compagnon de vie.,2/1/2024
Teamo con mi alma mi solecito,2/8/2024
Nunca dejare de amarte,2/5/2024
Bonne Saint-Valentin mon amour,2/1/2024
Te me haces muy guapa ,2/8/2024
que te mejores de la rodilla ,2/7/2024
Un año ya… lastima que no paso,2/9/2024
❤️te amo mucho❤️,2/7/2024
t amo un mundo hermana mia💐💕,2/8/2024
Gracias por ser la mejor ñaña,2/8/2024
 mi noob tqm,2/3/2024
Para ti Gabo 💗,1/31/2024
Te quiero mucho 💘,2/7/2024
Gracias por todo mi Dani <3,2/8/2024
Te quiero 💖 ,2/8/2024
Feliz San Valentín bb teamo 💗,2/6/2024
para:juanjose.de.7mo d tus bff,2/8/2024
Cuy,2/4/2024
Para la mejor army del mundo 💞,1/26/2024
Tqm mi chocolatito galak,1/29/2024
Tqm ♥ Valentinita,2/4/2024
Te amo mi cuchurrumin ,1/31/2024
Gracias por ser mi amiga tqm,2/5/2024
Te quiero precioso,1/31/2024
Porque se te quiere negrita,2/9/2024
la rosa se come vacuola :D,2/8/2024
Pa' ti <3,1/26/2024
Abii♡♡,1/30/2024
Ya ponte 11 en electi oe tqm  ,2/7/2024
Teamomucholinda<3,1/28/2024
Una rosa para otra.,2/8/2024
Te amo un mundo primaaaa<3,1/30/2024
"Feliz san Valentin, te amo <3",2/6/2024
Te amo muchísimo mi amor <3,1/31/2024
Feliz diaaa,2/9/2024
Q el violencia tenga jealousy ,2/9/2024
Tqm nath <3 ,2/9/2024
Para la niña más linda,2/8/2024
Feliz san Valentín demente ,2/8/2024
gracias por ser nuestra amiga ,2/8/2024
Que te guste mucho no?,2/8/2024
Supongo que sabes quien soy :),2/1/2024
Te amo,1/30/2024
Te amo,2/7/2024
Tqmm Saraw,2/8/2024
tq mejo<3,2/9/2024
Te amo 💋,2/9/2024
"No c ve, tenbuendiabro🗿",2/5/2024
Para mi mj amiguito :)),1/30/2024
Tqm amiguitoo lob uus ,2/6/2024
Te amito a pasitos de tortuga ,2/7/2024
Te amo mucho 💕,2/8/2024
para la luna de mi estrella 🤍,2/8/2024
Te amo amor,2/5/2024
hazbin hotel>helluba boss,2/8/2024
Feliz San Valentín mi BFF,2/7/2024
...<33,2/5/2024
feliz san valentin <3 ,2/8/2024
te amo ratona 💖,1/31/2024
Te quiero mucho,2/7/2024
👉👌 te amoooooo ,2/8/2024
"te quiero mucho, disfruta ",2/8/2024
TQM Mari eres la mejor <3,2/8/2024
Sofía te amo mushoo 😻,2/1/2024
FELIZ DIA TE QUIERO MUCHISIMO,2/8/2024
Gracias por tu amistad mary💗,2/3/2024
T amo gay hermosa ♡,1/29/2024
Negritaaaa,2/9/2024
Gracias por ser mi mejor amiga,2/8/2024
Para el mejor amigo ,2/8/2024
De nada :p,2/6/2024
eres mi mejor amiga gracias,2/8/2024
Tqm  Todo estará bien ,2/6/2024
Teamo Mati 💗🌷Mi lilo fav 💕,2/5/2024
Espero te guste y lo aprecies🫶🏻,2/3/2024
Te amo Dani flow ;),2/9/2024
Tqm imnoteemiii,2/2/2024
Mejor amiguita Veronia 💗,2/7/2024
Te amo Lu eres mi mejor amiga ,2/8/2024
Yandricito esto es para ti!!! ,2/7/2024
"Feliz día preciosa, te quiero",2/8/2024
Te quiero ,2/4/2024
<3,2/8/2024
Te quiero mucho mi niña ,2/7/2024
Holaaa toma un regalito:),2/5/2024
V,2/1/2024
De su mimado favorito ,2/7/2024
T quiero mucho Marii 💘,2/6/2024
te amo mucho mucho ,2/8/2024
Te amo Samantha Delgado,2/2/2024
De tu padre en fort,2/2/2024
Gracias por todo linda <3,2/9/2024
Y aquí que pongo ? ,2/8/2024
Eres mi persona fav 😍💕,1/31/2024
espero te guste te quiero full,2/5/2024
💘,2/7/2024
"Ten para ti Abicha, TKM ",2/6/2024
Tqm Mía aunque molestes JAJA,2/8/2024
Te quiero mucho ,2/7/2024
T AMO VALENTINA SIEMPRE <3,2/7/2024
Eres lo mas valioso para mi ,2/3/2024
Te quiero muchoo.....,2/7/2024
Te amo mi nikiu<3,2/4/2024
Para representar nuestra piel ,2/7/2024
"Repitamos, como tú ninguna",2/8/2024
Feliz San Valentín amorcito,2/6/2024
Para mí princesa hermosa 😍,2/8/2024
cuidado pillin te congela,2/7/2024
Mi chiquita te amo te amo <3,2/2/2024
Mucho cuidado con ese🫶,1/31/2024
Te amo con toda el alma,2/8/2024
Para mí Angelina Jolile 💓,1/30/2024
Te quiero un mundo.,2/7/2024
Te amo mi vida ,2/6/2024
Tqm negra ❤️,1/30/2024
"feli 14 mi niña hermosa,tadoro",1/25/2024
Feliz día 💐,2/9/2024
te amo,2/7/2024
Espero te gusten pou,2/1/2024
viva la legión anuel,2/5/2024
tqm boludo,1/26/2024
tq ,2/1/2024
ialsowantedtosiunchartedlastyr,2/3/2024
Si puedes escribeme a mi ig :),2/6/2024
Tqm espero que te guste♡,2/6/2024
Sabes que te quiero mucho ,1/26/2024
Gracias por ser mi amiga ,2/1/2024
Ya salida mi dome ,1/26/2024
Te amo mi bonita ❤️,2/7/2024
😻🫵,2/7/2024
Ojala y la usess,2/1/2024
Quieres ser mi novia 💞,1/31/2024
:),2/9/2024
Teamo bitch ,2/7/2024
Te amo mucho <3,2/9/2024
Tqm amiguita del YouTube ,2/10/2024
Me gustas mucho ❤️,2/7/2024
Feliz San Valentín Marranita !,1/29/2024
Tu admiradora muack ,2/8/2024
Con cariño Vale L.,2/8/2024
Feliz San Valentín los quiero ,2/8/2024
Te amo a pasitos de perezoso,2/10/2024
Como te promoeti :>,2/8/2024
t adoro borracha mmv JAJAJA,1/31/2024
Tqm <3 ,2/2/2024
Muchas gracias por tu amistad ,2/9/2024
!Feliz San Valentín!  - M ♡,2/1/2024
"Lo mereces en este día, Miita",2/1/2024
Una rosa para la más hermosa ,2/1/2024
Que lo disfrutes💗,2/1/2024
TAM nuestro primer valentín <3,2/10/2024
Te extraño mucho mi Cami ,2/5/2024
me gustan los arabes,2/6/2024
una flor para otra florr,1/30/2024
Una rosa por cada mes TE AMOO❤️,2/6/2024
Te amo con todo mi ser 💗,2/9/2024
Feliz dia ,1/31/2024
Te quiero real ,2/7/2024
Para este negro,2/1/2024
Oña 😮,2/8/2024
Te quiero pinche prra,2/8/2024
Feliz San Valentín 💝 ,2/2/2024
👻👻👻👻,2/1/2024
LLevame a suiza 🤗,1/28/2024
♥️,2/2/2024
gracias por esas noches vv,1/24/2024
Para recordarte que te amo,1/25/2024
Feliz cumpleaños :),2/6/2024
<3 tq,2/3/2024
Te quiero mucho bb 🫶,2/7/2024
Te amo bro,2/2/2024
Feliz día samuel coma td ksksk,2/8/2024
Para mi mejor amiga ,2/4/2024
me gustas,2/9/2024
Te amo mi aguacatito <3,2/1/2024
Feliz san valentínnn <33,2/6/2024
Gracias por ser mi mejor amiga,1/31/2024
"Tqm guapota, asomaaa",2/8/2024
Me gustas mucho ,2/6/2024
Te amo un mundo eres la mejor ,2/8/2024
tqm linda feliz dia ,2/3/2024
5mentarios,2/8/2024
Te estoy siendo infiel,2/9/2024
Te amo Danita ,2/5/2024
Te amo un mundo moooon ❣️,2/6/2024
:3,2/1/2024
Teamo mucho mejor amiguita 💗💗💗,2/4/2024
Te quiero ,2/9/2024
ojalá te guste ,2/7/2024
Gracias por esta amistad ❤️ - C,1/29/2024
Feliz día de la amistad panita,2/5/2024
Be my valentine?,1/29/2024
Te amo loquita<3,1/26/2024
Holi Boli,2/2/2024
Para mi encebollado ,2/9/2024
Para Martin<3 att: ñaña chanty,2/3/2024
"Para el ADMV, te amo mi flaca ",2/5/2024
te amo muchsisisisimo mi amor,2/8/2024
TQM,2/6/2024
t amo x siempre mi princesa ,2/9/2024
"Paulita linda, te quieroo  ",2/9/2024
Eres una gran amiga ,2/8/2024
te quiero muchisimo lorenita,1/27/2024
C te quiere ,2/6/2024
😁😁😁,1/31/2024
Para mi persona favorita 💕,1/30/2024
 🫶,2/6/2024
Te quiero perra puta,2/9/2024
Gracias por ser mi bro,1/26/2024
happy valentine's day mari mar,2/9/2024
Hasta la última y la siguiente,1/25/2024
te amo <3,1/26/2024
Te amo Ñel 💖,2/3/2024
"Eres mi luz, te quiero mucho ",2/8/2024
Te amo mi vide 💗💗,2/7/2024
I miss you <3,1/30/2024
🫶,2/6/2024
:),2/7/2024
Tamo💗,1/26/2024
Feliz día bestie<3 ultimoañoD:,2/1/2024
Te quieroooo ❤️‍🩹,2/8/2024
"Tqm, feliz 14🦭💞",1/30/2024
No habían girasoles:p ,1/25/2024
<3 ,1/26/2024
"holaa, tqm, cosarón",2/9/2024
"Feliz san Valentín, misss 💗",2/6/2024
💗,1/28/2024
Oña Micke🔪,2/8/2024
Solo porque te quiero ❤️,2/6/2024
.............,2/1/2024
Te amo sapoperro feliz todo,2/2/2024
Te quiero demasiado Emi ,1/28/2024
Que disfrutes con cariño 🫶,2/2/2024
Feliz día Samu sapo tqm,2/7/2024
